X,1422,547285,97
X,1423,547265,102
X,1423,547255,96
X,1424,547266,103
X,1424,547281,73
X,1425,547277,140
X,1425,547265,68
A,1425,547271,32
T,1426,2974
X,1427,547253,144
P,1428,5782
X,1428,547275,115
X,1428,547287,82
X,1429,547272,91
X,1430,547272,74
X,1430,547264,61
X,1431,547270,194
X,1431,547272,127
X,1432,547266,101
X,1432,547258,142
X,1433,547264,118
X,1433,547286,107
X,1434,547268,155
X,1435,547273,74
X,1435,547271,114
X,1436,547271,63
X,1436,547278,91
X,1437,547261,106
X,1437,547276,132
X,1438,547255,106
A,1438,547269,34
T,1438,2974
X,1440,547257,94
X,1440,547271,93
X,1441,547254,113
X,1441,547267,93
X,1442,547283,84
X,1443,547284,109
X,1443,547258,110
X,1444,547259,119
X,1444,547262,103
X,1445,547272,85
X,1445,547267,130
X,1446,547270,122
X,1447,547263,85
X,1447,547254,87
X,1448,547269,100
X,1448,547269,124
X,1449,547268,112
X,1449,547278,118
X,1450,547273,108
X,1451,547280,117
A,1451,547267,30
T,1451,2974
X,1452,547262,92
X,1453,547263,126
X,1453,547259,106
X,1454,547262,62
X,1455,547260,128
X,1455,547280,80
X,1455,547243,104
X,1455,547250,66
X,1456,547260,92
X,1456,547272,96
P,1457,5783
X,1457,547274,58
X,1458,547261,109
X,1458,547248,81
X,1459,547260,118
X,1459,547244,101
X,1460,547272,104
X,1460,547255,81
X,1461,547254,103
X,1461,547265,66
X,1462,547259,109
A,1462,547260,37
T,1462,2974
X,1464,547251,85
X,1464,547266,117
X,1465,547253,137
X,1466,547268,60
X,1466,547266,74
X,1467,547270,129
X,1467,547259,138
X,1468,547271,71
X,1468,547253,162
X,1469,547284,131
X,1469,547263,99
X,1470,547263,103
X,1471,547268,124
X,1471,547249,126
X,1472,547256,103
X,1472,547257,68
X,1473,547261,116
X,1473,547256,124
X,1474,547268,107
X,1475,547272,120
A,1475,547262,35
T,1475,2974
X,1476,547280,133
X,1477,547258,172
X,1477,547255,113
X,1478,547291,137
X,1479,547258,126
X,1479,547261,138
X,1480,547284,72
X,1480,547294,98
X,1481,547279,94
X,1481,547268,89
X,1482,547285,96
X,1483,547260,92
X,1483,547268,165
X,1484,547266,124
X,1484,547285,79
X,1485,547278,99
X,1485,547267,100
X,1486,547260,89
X,1487,547261,116
P,1487,5781
X,1487,547279,106
A,1487,547271,39
T,1487,2974
X,1489,547279,146
X,1489,547277,111
X,1490,547261,204
X,1491,547266,88
X,1491,547248,91
X,1492,547270,136
X,1492,547286,126
X,1493,547258,71
X,1493,547279,79
X,1494,547266,78
X,1495,547262,102
X,1495,547268,105
X,1496,547264,97
X,1496,547281,108
X,1496,547252,98
X,1496,547247,78
X,1497,547265,97
X,1497,547275,121
X,1498,547275,83
X,1499,547258,135
A,1499,547266,39
T,1499,2974
X,1500,547267,74
X,1501,547279,100
X,1502,547277,98
X,1502,547250,89
X,1503,547278,92
X,1503,547253,104
X,1504,547262,84
X,1504,547273,140
X,1505,547267,67
X,1505,547257,133
X,1506,547270,172
X,1507,547276,137
X,1507,547275,67
X,1508,547276,132
X,1508,547265,80
X,1509,547259,128
X,1509,547267,106
X,1510,547265,92
X,1511,547275,109
X,1511,547273,128
A,1511,547268,29
T,1511,2974
X,1513,547276,102
X,1513,547253,83
X,1514,547254,66
X,1515,547275,111
X,1515,547277,81
X,1516,547263,114
P,1516,5780
