A,1548168908,416710,2552
A,1548168937,447159,7619
A,1548168949,560237,2497
A,1548168972,678811,17481
A,1548168989,717711,13183
A,1548169001,855710,1919
A,1548169023,879477,21987
A,1548169035,1002354,1876
A,1548169774,352326,3296
A,1548169794,349458,1031
A,1548169832,358334,11564
A,1548169854,412413,51792
A,1548169877,575847,48609
A,1548169899,747531,44504
A,1548169953,482291,774
A,1549334079,605630,126
A,1549334103,605594,151
A,1549334126,605628,237
A,1549334144,605651,178
A,1549334168,605606,197
A,1549334187,605665,225
A,1549334205,605522,471
A,1549334224,605497,523
A,1549334264,605535,497
A,1549334290,605600,262
A,1549334319,605675,220
A,1549334338,605649,177
A,1549334360,605660,132
A,1549334381,605657,218
A,1549334399,605588,252
A,1549334414,605577,227
A,1549334429,605541,438
A,1549334445,605468,329
A,1549334466,605628,373
A,1549334484,605610,352
A,1549334511,605615,364
A,1549334528,605618,373
A,1549334552,605604,289
A,1549334570,605754,340
A,1549334589,605629,374
A,1549334610,605658,420
A,1549334631,605546,312
A,1549334655,605707,945
A,1549334682,605554,441
A,1549334703,605675,277
A,1549334723,605609,381
A,1549334757,605549,407
A,1549334785,605521,569
A,1549334809,605559,753
A,1549334836,605645,1136
A,1549334856,605591,632
A,1549334872,605711,624
A,1549334893,605702,534
A,1549334914,605699,328
A,1549334932,605601,495
A,1549334950,605581,282
A,1549334975,605601,223
A,1549334994,605650,313
A,1549335014,605606,337
A,1549335035,605642,325
A,1549335052,605615,350
A,1549335080,605668,439
A,1549335108,605686,490
A,1549335129,605667,228
A,1549335163,605631,270
A,1549335188,605673,168
A,1549335207,605661,152
A,1549335226,605630,231
A,1549335249,605577,236
A,1549335276,605534,310
A,1549335301,605597,164
A,1549335345,605605,176
A,1549335373,605531,387
A,1549335387,605598,180
A,1549335413,605576,236
A,1549335491,605524,161
A,1549335523,605457,414
A,1549335551,605440,445
A,1549335572,605404,484
A,1549335602,605432,269
A,1549335627,605433,440
A,1549335646,605413,354
A,1549335673,605452,208
A,1549335693,605449,188
A,1549335719,605544,253
A,1549335743,605496,268
A,1549335772,605529,438
A,1549335793,605468,251
A,1549335829,605417,323
A,1549335851,605477,385
A,1549335877,605470,314
A,1549335898,605459,270
A,1549335915,605501,160
A,1549335932,605427,227
A,1549335949,605416,173
A,1549335969,605435,327
A,1549335987,605402,251
A,1549336006,605367,189
A,1549336033,605485,184
A,1549336052,605415,187
A,1549336076,605494,177
A,1549336099,605506,122
A,1549336127,605467,293
A,1549336149,605447,233
A,1549336180,605461,247
A,1549336205,605416,441
A,1549336267,605480,261
A,1549336297,605425,293
A,1549336343,605424,342
A,1549336368,605323,196
A,1549336393,605467,233
A,1549336429,605447,189
A,1549336546,605415,440
A,1549336602,605382,207
A,1549336632,605404,210
A,1549336670,605394,200
A,1549336705,605328,315
A,1549336753,605250,254
A,1549336777,605156,230
A,1549336826,605064,389
A,1549336860,605129,576
A,1549336891,605764,955
A,1549336911,605352,454
A,1549337012,605232,173
A,1549337439,605068,403
A,1549337499,605053,449
A,1549337546,605094,713
A,1549337662,605064,964
A,1549337786,605289,1011
A,1549337839,605033,910
A,1549666086,611173,659
A,1549666112,611054,1735
A,1549666136,611111,1243
A,1549666151,611328,423
A,1549666170,611405,1870
A,1549666191,611297,1948
A,1549666230,611162,1499
A,1549666245,611176,847
A,1549666269,611105,1332
A,1549666306,611244,2639
A,1549666336,610685,1232
A,1549666364,610781,3026
A,1549666395,611383,2323
A,1549666421,610760,4147
A,1549666455,611682,4821
A,1549666501,611408,1467
A,1549666545,611089,2734
A,1549666576,611108,1511
A,1549666617,610852,2749
A,1549666644,611070,2618
A,1549666700,611037,1253
A,1549666730,611027,2730
A,1549666747,610991,1711
A,1549666768,611197,1724
A,1549666787,611177,1006
A,1549666809,610938,1003
A,1549666831,610575,1307
A,1549666853,610604,1386
A,1549666867,610868,613
A,1549666890,610973,516
A,1549666915,610828,885
A,1549666942,610983,498
A,1549666977,610593,1168
A,1549668963,610636,1847
A,1549668990,611025,619
A,1549669033,610504,1702
A,1549669084,610993,2341
A,1549669122,610433,2007
A,1549669168,610584,737
A,1549669195,610687,658
A,1549669213,610813,404
A,1549669239,610857,936
A,1549669268,610682,537
A,1549669296,610598,894
A,1549669323,610796,391
A,1549669353,610879,211
A,1549669383,610834,254
A,1549669401,610597,537
A,1549669428,610577,788
A,1549669459,610624,513
A,1549669489,610557,1367
A,1549669509,610934,1144
A,1549669534,610676,661
A,1549669555,610388,813
A,1549669580,610400,1032
A,1549669607,610105,2112
A,1549669636,610729,463
A,1549669674,610488,1011
A,1549669710,610166,2230
A,1549669729,610352,1238
A,1549669753,610373,813
A,1549669773,610665,720
A,1549669799,610522,380
A,1549669836,610346,1654
A,1549669886,610485,1734
A,1549669939,610140,1457
A,1549669970,610229,766
A,1549669997,610524,632
A,1549670020,610433,754
A,1549670058,610423,843
A,1549670081,610445,1251
A,1549670111,610390,2437
A,1549670144,610262,2293
A,1549670177,610259,1864
A,1549670210,610355,1009
A,1549670267,610577,1629
A,1549670326,610431,1027
A,1549670355,610757,1233
A,1549670378,610297,844
A,1549670422,610472,2955
A,1549670458,610030,2549
A,1549670506,610108,1695
A,1549670541,610771,1124
A,1549670567,610505,924
A,1549670595,610436,1009
A,1549670619,610534,944
A,1549670679,610528,1055
